mode,river,station,target,nse,rmse,mae,crps,cov80,cov90,calib,n
zs512,nak,S02017,chl-a,0.3024644929599949,20.708185849145284,12.281289647823693,7.3315494773626915,0.7268518518518519,0.8680555555555556,0.03287037037037037,432
zs512,nak,S02018,do,0.7488067188839935,0.8632396768507464,0.6773693170147697,0.4193521446381177,0.8031746031746032,0.8952380952380953,0.033786848072562374,315
zs512,nak,S02018,toc,0.05571331598964402,0.48017486534925347,0.28282348840981586,0.18148584358571698,0.7377049180327869,0.839344262295082,0.0531615925058548,305
zs512,nak,S02018,tn,0.6086958746162684,0.2094700830530807,0.16936507570176018,0.09800745727034546,0.7622377622377622,0.9300699300699301,0.06123876123876125,286
zs512,nak,S02018,tp,0.05680969772928823,0.0042950156776443045,0.002409691553194139,0.0015922308655845342,0.7702265372168284,0.8543689320388349,0.0267221451687471,309
zs512,nak,S02019,do,0.34008258077057296,1.1006987024714554,0.8386807362379676,0.5006001988099781,0.7967289719626168,0.9018691588785047,0.010680907877169552,428
zs512,nak,S02019,toc,0.2945836241781502,1.096848017596325,0.8592682200797749,0.5144451058150564,0.7725947521865889,0.8775510204081632,0.02690545605997502,343
zs512,nak,S02020,do,0.7892525060038394,1.3843777965450277,1.0340242699421816,0.6239817796788768,0.7859078590785907,0.8780487804878049,0.03232675183894697,369
zs512,nak,S02020,toc,0.3095563825619412,0.5665112189281462,0.32363719524969964,0.2238968112943763,0.7686170212765957,0.8377659574468085,0.020288753799392076,376
zs512,nak,S02020,tn,0.3310651839640728,0.5555326596843313,0.32846023966676763,0.22398919448939245,0.7534626038781164,0.8559556786703602,0.0376731301939058,361
zs512,nak,S02020,tp,0.430789601544734,0.014566155271413512,0.008130206990176223,0.005490413374904531,0.8292011019283747,0.8842975206611571,0.047225501770956316,363
